COMPONENT SECTION,MATERIAL,SIZE,STOCK CODE,STOCK DESCRIPTION,AverageBuyingPrice
Bar material / finish,Bare Hard Drawn Copper Bar,10 x 5,HD1005,BARE HARD DRAWN COPPER BAR 10 X 5MM,2.19
Bar material / finish,Tinned Hard Drawn Copper Bar,10 x 5,HDT1005,TINNED HARD DRAWN COPPER BAR 10 X 5MM,0
Bar material / finish,Bare Hard Drawn Copper Bar,100 x 10,HD10010,BARE HARD DRAWN COPPER BAR 100 X 10MM,60.41153
Bar material / finish,Tinned Hard Drawn Copper Bar,100 x 10,HDT10010,TINNED HARD DRAWN COPPER BAR 100 X 10MM,62.3
Bar material / finish,Bare Hard Drawn Copper Bar,100 x 12,HD10012,BARE HARD DRAWN COPPER BAR 100 X 12MM,62.2
Bar material / finish,Tinned Hard Drawn Copper Bar,100 x 12,HDT10012,TINNED HARD DRAWN COPPER BAR 100 X 12MM,0
Bar material / finish,Bare Hard Drawn Copper Bar,100 x 15,HD10015,BARE HARD DRAWN COPPER BAR 100 X 15MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,100 x 15,HDT10015,TINNED HARD DRAWN COPPER BAR 100 X 15MM,
Bar material / finish,Bare Hard Drawn Copper Bar,100 x 4,HD10004,BARE HARD DRAWN COPPER BAR 100 X 4MM,19.58
Bar material / finish,Tinned Hard Drawn Copper Bar,100 x 4,HDT10004,TINNED HARD DRAWN COPPER BAR 100 X 4MM,0
Bar material / finish,Bare Hard Drawn Copper Bar,100 x 5,HD10005,BARE HARD DRAWN COPPER BAR 100 X 5MM,26.7
Bar material / finish,Tinned Hard Drawn Copper Bar,100 x 5,HDT10005,TINNED HARD DRAWN COPPER BAR 100 X 5MM,17.78
Bar material / finish,Bare Hard Drawn Copper Bar,100 x 6,HD10006,BARE HARD DRAWN COPPER BAR 100 X 6MM,43.24893
Bar material / finish,Tinned Hard Drawn Copper Bar,100 x 6,HDT10006,TINNED HARD DRAWN COPPER BAR 100 X 6MM,37.832
Bar material / finish,Bare Hard Drawn Copper Bar,100 x 8,HD10008,BARE HARD DRAWN COPPER BAR 100 X 8MM,58.63177
Bar material / finish,Tinned Hard Drawn Copper Bar,100 x 8,HDT10008,TINNED HARD DRAWN COPPER BAR 100 X 8MM,
Bar material / finish,Bare Hard Drawn Copper Bar,120 x 10,HD12010,BARE HARD DRAWN COPPER BAR 120 X 10MM,45.39
Bar material / finish,Tinned Hard Drawn Copper Bar,120 x 10,HDT12010,TINNED HARD DRAWN COPPER BAR 120 X 10MM,
Bar material / finish,Bare Hard Drawn Copper Bar,120 x 12,HD12012,BARE HARD DRAWN COPPER BAR 120 X 12MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,120 x 12,HDT12012,TINNED HARD DRAWN COPPER BAR 120 X 12MM,
Bar material / finish,Bare Hard Drawn Copper Bar,120 x 5,HD12005,BARE HARD DRAWN COPPER BAR 120 X 5MM,32.25
Bar material / finish,Tinned Hard Drawn Copper Bar,120 x 5,HDT12005,TINNED HARD DRAWN COPPER BAR 120 X 5MM,
