COMPONENT SECTION,MATERIAL,SIZE,STOCK CODE,STOCK DESCRIPTION,AverageBuyingPrice
INSULATOR CONNECTION,STAINLESS STEEL,M10x12,OSS1012-M,HEXAGON HEAD SET SCREW STAINLESS STEEL M10 X 12MM MACHINE SHOP,0.098
INSULATOR CONNECTION,A4 STAINLESS STEEL,M10x12,OSS1012/A4-M,HEXAGON HEAD SET SCREW STAINLESS STEEL M10 X 12MM A4 MACHINE SHOP,0.32
INSULATOR CONNECTION,PHOSPHOR BRONZE,M10x40,ERD01-M,PHOSPHOR BRONZE COUPLING DOWEL M10 X 40MM MACHINE SHOP,0.38034
INSULATOR CONNECTION,STAINLESS STEEL,M10x40,ERD16-M,STAINLESS STEEL COUPLING DOWEL M10 X 40MM MACHINE SHOP,0.26
INSULATOR CONNECTION,A4 STAINLESS STEEL,M10x40,ERD16/A4-M,A4 STAINLESS STEEL COUPLING DOWEL M10 X 40MM MACHINE SHOP,0.74
INSULATOR CONNECTION,BRASS,M10x40,ATB1040-M,BRASS ALL THREAD M10 X 40 MACHINE SHOP,0.275
INSULATOR CONNECTION,PHOSPHOR BRONZE,M10,OWP10-M,FLAT WASHER PHOSPHOR BRONZE M10 MACHINE SHOP,0.08456
INSULATOR CONNECTION,PHOSPHOR BRONZE,M10,ONP10-M,HEXAGON FULL NUT NAVAL BRASS PHOSPHOR BRONZE PLATED M10 - MACHINE SHOP,0.14319
INSULATOR CONNECTION,STAINLESS STEEL,M10,OWS10-M,FLAT WASHER STAINLESS STEEL M10 MACHINE SHOP,0.008
INSULATOR CONNECTION,STAINLESS STEEL,M10,ONS10-M,HEXAGON FULL NUT STAINLESS STEEL M10 MACHINE SHOP,0.032
INSULATOR CONNECTION,A4 STAINLESS STEEL,M10,OWS10/A4-M,A4 STAINLESS STEEL FLAT WASHER M10 MACHINE SHOP,0.021
INSULATOR CONNECTION,A4 STAINLESS STEEL,M10,ONS10/A4-M,A4 STAINLESS STEEL HEXAGON FULL NUT M10 MACHINE SHOP,0.092
INSULATOR CONNECTION,BRASS,M10,OWB10-M,FLAT WASHER BRASS M10 MACHINE SHOP,0.0366
INSULATOR CONNECTION,BRASS,M10,ONB10-M,HEXAGON FULL NUT BRASS M10 MACHINE SHOP,0.115
INSULATOR CONNECTION,BZP,M10,OWBZP10-M,M10 BRIGHT ZINC PLATED WASHER MACHINE SHOP,0.008
INSULATOR CONNECTION,BZP,M10,ONBZP10-M,HEXAGON FULL NUT ZINC PLATED STEEL M10 - MACHINE SHOP,0.019
TERMINATION CONNECTION,PHOSPHOR BRONZE,M10,OSP1035-M,HEXAGON HEAD SET SCREW PHOSPHOR BRONZE M10 X 35MM MACHINE SHOP,0.60431
TERMINATION CONNECTION,PHOSPHOR BRONZE,M10,OSP1040-M,HEXAGON HEAD SET SCREW PHOSPHOR BRONZE M10 X 40MM MACHINE SHOP,
TERMINATION CONNECTION,PHOSPHOR BRONZE,M10,OSP1050-M,HEXAGON HEAD SET SCREW PHOSPHOR BRONZE M10 X 50MM MACHINE SHOP,
TERMINATION CONNECTION,PHOSPHOR BRONZE,M10,OSP1060-M,HEXAGON HEAD SET SCREW PHOSPHOR BRONZE M10 X 60MM MACHINE SHOP,
TERMINATION CONNECTION,PHOSPHOR BRONZE,M10,OTP10-M,SPRING WASHER PHOSPHOR BRONZE M10 MACHINE SHOP,0.047
TERMINATION CONNECTION,PHOSPHOR BRONZE,M10,OWP10-M,FLAT WASHER PHOSPHOR BRONZE M10 MACHINE SHOP,0.08456
TERMINATION CONNECTION,PHOSPHOR BRONZE,M10,ONP10-M,HEXAGON FULL NUT NAVAL BRASS PHOSPHOR BRONZE PLATED M10 - MACHINE SHOP,0.14319
TERMINATION CONNECTION,BRASS,M10,OSB1035-M,HEXAGON HEAD SET SCREW BRASS M10 X 35MM MACHINE SHOP,0.42172
TERMINATION CONNECTION,BRASS,M10,OSB1040-M,HEXAGON HEAD SET SCREW BRASS M10 X 40MM MACHINE SHOP,0.81
TERMINATION CONNECTION,BRASS,M10,OSB1050-M,HEXAGON HEAD SET SCREW BRASS M10 X 50MM MACHINE SHOP,0.7275
TERMINATION CONNECTION,BRASS,M10,OSB1060-M,HEXAGON HEAD SET SCREW BRASS M10 X 60MM MACHINE SHOP,
TERMINATION CONNECTION,BRASS (PB),M10,OTP10-M,SPRING WASHER PHOSPHOR BRONZE M10 MACHINE SHOP,0.047
TERMINATION CONNECTION,BRASS,M10,OWB10-M,FLAT WASHER BRASS M10 MACHINE SHOP,0.0366
TERMINATION CONNECTION,BRASS,M10,ONB10-M,HEXAGON FULL NUT BRASS M10 MACHINE SHOP,0.115
TERMINATION CONNECTION,STAINLESS STEEL,M10,OSS1035-M,HEXAGON HEAD SET SCREW STAINLESS STEEL M10 X 35MM MACHINE SHOP,0.1105
